ANALYTE_NAME,DATA_SOURCE,MATRIX,NUMBER_OF_ROWS
colloid,WQ,sediment,81
gravel,WQ,sediment,81
Salicylic Acid,WQ,samplewater,79
"Nitroaniline, 3-","CIWQS,WQ",samplewater,79
Atenolol,"WQ,WQX",samplewater,79
Fluoxetine,"WQ,WQX",samplewater,79
PBDE 008,"Tissue,WQ","samplewater,sediment,tissue",79
Iopromide,WQ,samplewater,79
Cotinine,"WQ,WQX",samplewater,79
PCB 157 (TEQ ND=DL),"Tissue,WQ","samplewater,sediment,tissue",78
PCB 157 (TEQ ND=0),"Tissue,WQ","samplewater,sediment,tissue",78
PCB 157 (TEQ ND=1/2 DL),"Tissue,WQ","samplewater,sediment,tissue",78
"Perfluoro-3,6-dioxaheptanoate","Tissue,WQ","samplewater,sediment,tissue",77
Perfluorooctanoic acid (PFOA),WQ,samplewater,77
"Fluorotelomer Carboxylic Acid, 5:3-","Tissue,WQ","samplewater,sediment,tissue",77
Aminocarb,WQ,samplewater,77
Perfluorooctanesulfonic acid (PFOS),WQ,samplewater,77
Perfluoro(2-ethoxyethane)sulfonic Acid,"Tissue,WQ","samplewater,sediment,tissue",77
Benzyl Alcohol,"CIWQS,WQ",samplewater,77
"Fluorotelomer Carboxylic Acid, 7:3-","Tissue,WQ","samplewater,sediment,tissue",77
"Ethynylestradiol, 17alpha-",WQ,samplewater,76
Testosterone,WQ,samplewater,76
Progesterone,WQ,samplewater,76
Estrone,WQ,samplewater,76
"Estradiol, 17beta-",WQ,samplewater,76
Mexacarbate,WQ,samplewater,75
Chloroxuron,WQ,samplewater,75
Tris(2-chloroethyl)phosphate,"WQ,WQX","samplewater,sediment",74
Granule + Pebble,WQ,"samplewater,sediment",74
Dibromomethane,"CIWQS,WQ,WQX",samplewater,74
"Ethyl-perfluorooctanesulfonamidoethanol, N-","Tissue,WQ","samplewater,sediment,tissue",72
Oxygen-18/Oxygen-16 Ratio,"WQ,WQX",samplewater,72
Perfluoro-4-methoxybutanoate,"Tissue,WQ","samplewater,sediment,tissue",72
Perfluoro-3-methoxypropanoate,"Tissue,WQ","samplewater,sediment,tissue",72
"Fluorotelomer Carboxylic Acid, 3:3-","Tissue,WQ","samplewater,sediment,tissue",72
Avian_GFD,WQ,samplewater,70
TPH as Gasoline C4-C13,WQ,samplewater,70
Nitrogen-15/Nitrogen-14 Ratio,WQ,samplewater,69
"Benzo(b)fluorene, 11H-",WQ,sediment,68
Azithromycin,"WQ,WQX",samplewater,66
"Tris(1,3-dichloroisopropyl)phosphate","WQ,WQX",samplewater,66
Benzoic Acid,"CIWQS,WQ",samplewater,65
"Chloroaniline, 4-",CIWQS,,65
Diazepam,"WQ,WQX",samplewater,64
Triclocarban,"WQ,WQX",samplewater,62
Tris(1-chloro-2-propyl)phosphate,WQ,samplewater,61
Perfluorodecanoate-13C6(IsoDilAnalogue),"Tissue,WQ","samplewater,tissue",61
Chlorzoxazone,WQ,sediment,61
Ciprofloxacin,WQ,samplewater,61
Azinphos Ethyl,"WQ,WQX",samplewater,61
Atorvastatin,WQ,samplewater,61
Methadone,WQ,samplewater,61
Phenytoin,WQ,samplewater,61
Primidone,WQ,samplewater,61
Amoxicillin,WQ,samplewater,61
Total Endosulfans,CIWQS,,61
TPH as Motor Oil C24-C36,WQ,samplewater,60
Detergent,Field,samplewater,60
Bispyribac Sodium,WQ,samplewater,60
TPH as Motor Oil C17-C44,WQ,samplewater,59
Anthropogenic (cellulosic) fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",59
Polyester fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",58
TPH as Motor Oil C25-C36,WQ,samplewater,57
PhiX174,WQ,samplewater,56
Battery Voltage,Field,not applicable,56
Perfluorododecanoate-13C2(IsoDilAnalogue),Tissue,tissue,55
PBDE 166,"Tissue,WQ","samplewater,sediment,tissue",55
Perfluorotetradecanoate-13C2(IsoDilAnalogue),Tissue,tissue,55
Perfluorobutanesulfonate-13C3(IsoDilAnalogue),Tissue,tissue,55
Perfluorohexanesulfonate-13C3(IsoDilAnalogue),Tissue,tissue,55
Perfluorooctanesulfonate-13C8(IsoDilAnalogue),Tissue,tissue,55
Perfluorooctanesulfonamide-13C8(IsoDilAnalogue),Tissue,tissue,55
"Fluorotelomer Sulfonate-13C2, 4:2-(IsoDilAnalogue)",Tissue,tissue,55
"Fluorotelomer Sulfonate-13C2, 6:2-(IsoDilAnalogue)",Tissue,tissue,55
"Fluorotelomer Sulfonate-13C2, 8:2-(IsoDilAnalogue)",Tissue,tissue,55
Perfluoro-2-Propoxypropanoic Acid-13C3(IsoDilAnalogue),Tissue,tissue,55
"Ethyl-perfluorooctanesulfonamide-d5, N-(IsoDilAnalogue)",Tissue,tissue,55
"Methyl-perfluorooctanesulfonamide-d3, N-(IsoDilAnalogue)",Tissue,tissue,55
"Ethyl Perfluorooctane Sulfonamido Acetic Acid-d5, N-(IsoDilAnalogue)",Tissue,tissue,55
"Methyl Perfluorooctane Sulfonamido Acetic Acid-d3, N-(IsoDilAnalogue)",Tissue,tissue,55
Perfluorobutanoate-13C4(IsoDilAnalogue),Tissue,tissue,55
Perfluorohexanoate-13C5(IsoDilAnalogue),Tissue,tissue,55
Perfluorononanoate-13C9(IsoDilAnalogue),Tissue,tissue,55
Perfluorooctanoate-13C8(IsoDilAnalogue),Tissue,tissue,55
Perfluoroheptanoate-13C4(IsoDilAnalogue),Tissue,tissue,55
Perfluoropentanoate-13C5(IsoDilAnalogue),Tissue,tissue,55
Desisopropyl-Atrazine,"WQ,WQX",samplewater,55
"Dichloropropane, 2,2-","CIWQS,WQ",samplewater,55
PBDE 011,"Tissue,WQ","samplewater,sediment,tissue",55
PBDE 013,"Tissue,WQ","samplewater,sediment,tissue",55
PBDE 025,"Tissue,WQ","samplewater,sediment,tissue",55
PBDE 120,"Tissue,WQ","samplewater,sediment,tissue",55
Perfluoroundecanoate-13C7(IsoDilAnalogue),Tissue,tissue,55
Leptophos,"WQ,WQX",samplewater,54
Chlorfenvinphos,"WQ,WQX",samplewater,54
"Trichlorobenzene, 1,2,3-","CIWQS,WQ,WQX",samplewater,53
"Methyl-perfluorooctanesulfonamidoethanol, N-","Tissue,WQ","samplewater,sediment,tissue",52
Azinphos Methyl oxon,WQ,samplewater,52
Diazinon oxon,WQ,samplewater,52
Bromuconazole,WQ,samplewater,52
OilandGrease; SGT-HEM,"WQ,WQX","samplewater,sediment",52
Suspended Sediment Discharge,WQX,samplewater,51
Polystyrene foam,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um",51
Monocrotophos,"WQ,WQX",samplewater,51
Total Anions,"CIWQS,WQ",samplewater,51
"Ethyl-perfluorooctanesulfonamidoethanol-d9, N-(IsoDilAnalogue)",Tissue,tissue,50
"Methyl-perfluorooctanesulfonamidoethanol-d7, N-(IsoDilAnalogue)",Tissue,tissue,50
Polyethylene sphere,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um",50
Phosphamidon,"WQ,WQX",samplewater,50
Aspon,"WQ,WQX",samplewater,50
Ciodrin,"WQ,WQX",samplewater,50
Dioxathion,"WQ,WQX",samplewater,50
Total Cations,"CIWQS,WQ",samplewater,50
Human Norovirus GI,WQ,samplewater,49
Tert-amyl Methyl Ether,"CIWQS,WQ,WQX",samplewater,49
Soot,WQ,sediment,48
Anthropogenic (unknown base) fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",46
Desethyl-desisopropyl-atrazine,"WQ,WQX",samplewater,45
"Nitrosodiethylamine, N-","CIWQS,WQ",samplewater,45
Benzo(j/k)fluoranthene,"Tissue,WQ","samplewater,sediment,tissue",45
TPH as Diesel C10-C24,WQ,samplewater,45
"Chlordane, Technical",WQ,"samplewater,sediment",44
Not Characterized Foam,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >125 to 500 um,sediment, >355 to 500 um",44
"Isopropyltoluene, p-","CIWQS,WQ",samplewater,44
"Dichlorophenol, 2,6-","CIWQS,WQ",sediment,43
Diaminochlorotriazine (DACT),WQ,samplewater,43
Ethyl Tert-butyl Ether,"CIWQS,WQ,WQX",samplewater,42
Uranium,"CIWQS,WQX",samplewater,42
Polyethylene Film,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um",42
Acrylic fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",41
Tert-butyl Alcohol,"CIWQS,WQ",samplewater,41
Diisopropyl Ether,"CIWQS,WQ,WQX",samplewater,41
TPH as Gasoline C4-C12,WQ,"samplewater,sediment",40
"Fluorobiphenyl, 2-","CIWQS,WQ,WQX",samplewater,40
C. jejuni,WQ,samplewater,40
C. coli,WQ,samplewater,40
PMMoV,WQ,samplewater,40
"Methylphenol, 4-","CIWQS,WQ",samplewater,39
Cellulosic Fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",39
Cotton fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",37
Not Characterized Film,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um",37
Aniline,CIWQS,,35
"Dimethyldibenzothiophene, 2,4-","Tissue,WQ","sediment,tissue",34
Gross Beta,"CIWQS,WQ",samplewater,34
Pyridine,CIWQS,,34
"Carbon Dioxide, total",WQ,samplewater,34
Amphetamine,WQX,samplewater,33
"Bacteroidales, Horse",WQ,samplewater,33
"Tetrachlorophenol, 2,3,4,6-","CIWQS,WQ",sediment,32
"Tetraethyl pyrophosphate, TEPP",WQ,samplewater,32
Fipronil DetrifluoroMethylsulfinyl,WQ,sediment,32
Total Hepta-Dioxins,WQ,samplewater,32
Total Penta-Dioxins,WQ,samplewater,32
Total Tetra-Furans,WQ,samplewater,32
WaterClarity,Field,samplewater,32
Total Hexa-Furans,WQ,samplewater,32
Total Hepta-Furans,WQ,samplewater,32
Total Hexa-Dioxins,WQ,samplewater,32
Total Penta-Furans,WQ,samplewater,32
Total Tetra-Dioxins,WQ,samplewater,32
"Methylphenanthrene, 9/4-",WQ,sediment,31
"Carbon dioxide, free",WQ,samplewater,30
Atraton,"WQ,WQX",samplewater,30
"Methylphenanthrene, 2-",WQ,sediment,30
AFDM_Algae,WQ,samplewater,29
"Clostridiales, Human (LACHNO3)",WQ,samplewater,28
"Phenolics, Total",WQ,samplewater,28
Not Characterized Sphere,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um",28
"Tetramethylnaphthalene, 1,4,6,7-","Tissue,WQ","sediment,tissue",27
Imazapyr,WQ,samplewater,27
Polypropylene film,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um",27
Inorganic Natural Material Fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 um",26
SOD,WQ,sediment,26
Acid Volatile Sulfides,WQ,sediment,26
Polypropylene fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >500 um",25
"Methyl (3,4-dichlorophenyl)carbamate","WQ,WQX",samplewater,25
"Dibenzo(a,h)anthracene/indeno(1,2,3-cd)pyrene",WQ,sediment,24
Scandium,"WQ,WQX",samplewater,24
Yttrium,"WQ,WQX",samplewater,24
"Tribromophenol, 2,4,6-","CIWQS,WQ",samplewater,24
Anthropogenic (synthetic) Fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um",23
Wool Fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >500 um",23
Azobenzene,"CIWQS,WQ",samplewater,23
Unknown Potentially Rubber Fragment,WQ,"sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",23
Inorganic Natural Material Foam,WQ,"samplewater, particulate, > 212 um,samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um",22
"Methylphenol, 3-",WQ,samplewater,22
Metabolite B,WQ,samplewater,22
Human Norovirus GII,WQ,samplewater,22
Polystyrene Sphere,WQ,"samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um",22
Anthropogenic (unknown base) Film,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um",21
Silicon,"WQ,WQX",samplewater,21
TPH as Gasoline C6-C12,WQ,samplewater,21
Polyethylene terephthalate fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um",21
Tritium,CIWQS,,20
Simetryn,WQ,samplewater,20
Secbumeton,WQ,samplewater,20
Strontium-90,CIWQS,,20
PCB 156/157 (TEQ ND=0),WQ,"samplewater,sediment",20
PCB 156/157 (TEQ ND=DL),WQ,"samplewater,sediment",20
PCB 156/157 (TEQ ND=1/2 DL),WQ,"samplewater,sediment",20
Anthropogenic (unknown base) fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um",20
Gallium,WQX,samplewater,19
"Bacteroidales, Human (BacH)",WQ,samplewater,19
Zirconium,WQX,samplewater,19
PCB 040/41,WQ,sediment,19
PCB 044/47,WQ,sediment,19
PCB 044/65,WQ,sediment,19
PCB 059/62,WQ,sediment,19
PCB 059/75,WQ,sediment,19
PCB 070/74,WQ,sediment,19
PCB 070/76,WQ,sediment,19
PCB 086/87,WQ,sediment,19
PCB 087/97,WQ,sediment,19
PCB 093/95,WQ,sediment,19
PCB 095/98,WQ,sediment,19
PCB 085/117,WQ,sediment,19
PCB 087/108,WQ,sediment,19
PCB 087/119,WQ,sediment,19
PCB 087/125,WQ,sediment,19
PCB 095/100,WQ,sediment,19
PCB 095/102,WQ,sediment,19
PCB 101/113,WQ,sediment,19
PCB 129/138,WQ,sediment,19
PCB 138/163,WQ,sediment,19
PCB 151/154,WQ,sediment,19
Acrylic Fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um",19
"Fluorophenol, 2-","CIWQS,WQ",samplewater,19
Unknown Fragment,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um",19
Cellulose Acetate Fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",19
Niobium,WQX,samplewater,19
Cocaine,WQX,samplewater,18
"Dichloro-pyridine-2-carboxylic Acid, 3,6-",WQ,samplewater,18
Tylosin,WQX,samplewater,18
Warfarin,WQX,samplewater,18
Diltiazem,WQX,samplewater,18
Glyburide,WQX,samplewater,18
Metformin,WQX,samplewater,18
Oxycodone,WQX,samplewater,18
Valsartan,WQX,samplewater,18
Verapamil,WQX,samplewater,18
Diphenamid,"CIWQS,WQ",samplewater,18
Furosemide,WQX,samplewater,18
Metoprolol,WQX,samplewater,18
Sertraline,WQX,samplewater,18
Hydrocodone,WQX,samplewater,18
Propranolol,WQX,samplewater,18
Simvastatin,WQX,samplewater,18
Triamterene,WQX,samplewater,18
Norverapamil,WQX,samplewater,18
Amitriptyline,WQX,samplewater,18
Sulfamethazine,WQX,samplewater,18
Hydrochlorothiazide,WQX,samplewater,18
Polystyrene fragment,WQ,"samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 um",18
Fluticasone Propionate,WQX,samplewater,18
Codeine,WQX,samplewater,18
Acifluorfen,"CIWQS,WQ,WQX",samplewater,17
"OCDF, 1,2,3,4,6,7,8,9- (TEQ ND=1/2 DL)",WQ,samplewater,17
"TCDD, 2,3,7,8- (TEQ ND=0)",WQ,samplewater,17
"TCDF, 2,3,7,8- (TEQ ND=0)",WQ,samplewater,17
"Dichlorobenzoic Acid, 3,5-","CIWQS,WQ,WQX",samplewater,17
"PECDD, 1,2,3,7,8- (TEQ ND=0)",WQ,samplewater,17
"PECDF, 1,2,3,7,8- (TEQ ND=0)",WQ,samplewater,17
"PECDF, 2,3,4,7,8- (TEQ ND=0)",WQ,samplewater,17
"HXCDD, 1,2,3,4,7,8- (TEQ ND=0)",WQ,samplewater,17
"HXCDD, 1,2,3,6,7,8- (TEQ ND=0)",WQ,samplewater,17
"HXCDD, 1,2,3,7,8,9- (TEQ ND=0)",WQ,samplewater,17
"HXCDF, 1,2,3,4,7,8- (TEQ ND=0)",WQ,samplewater,17
"HXCDF, 1,2,3,6,7,8- (TEQ ND=0)",WQ,samplewater,17
"HXCDF, 1,2,3,7,8,9- (TEQ ND=0)",WQ,samplewater,17
"HXCDF, 2,3,4,6,7,8- (TEQ ND=0)",WQ,samplewater,17
"TCDD, 2,3,7,8- (TEQ ND=1/2 DL)",WQ,samplewater,17
"TCDF, 2,3,7,8- (TEQ ND=1/2 DL)",WQ,samplewater,17
"HPCDD, 1,2,3,4,6,7,8- (TEQ ND=0)",WQ,samplewater,17
"HPCDF, 1,2,3,4,6,7,8- (TEQ ND=0)",WQ,samplewater,17
"HPCDF, 1,2,3,4,7,8,9- (TEQ ND=0)",WQ,samplewater,17
Anthropogenic (unknown base) Foam,WQ,"samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um",17
"OCDD, 1,2,3,4,6,7,8,9- (TEQ ND=0)",WQ,samplewater,17
"OCDF, 1,2,3,4,6,7,8,9- (TEQ ND=0)",WQ,samplewater,17
"PECDD, 1,2,3,7,8- (TEQ ND=1/2 DL)",WQ,samplewater,17
"PECDF, 1,2,3,7,8- (TEQ ND=1/2 DL)",WQ,samplewater,17
"PECDF, 2,3,4,7,8- (TEQ ND=1/2 DL)",WQ,samplewater,17
"HXCDD, 1,2,3,4,7,8- (TEQ ND=1/2 DL)",WQ,samplewater,17
"HXCDD, 1,2,3,6,7,8- (TEQ ND=1/2 DL)",WQ,samplewater,17
"HXCDD, 1,2,3,7,8,9- (TEQ ND=1/2 DL)",WQ,samplewater,17
"HXCDF, 1,2,3,4,7,8- (TEQ ND=1/2 DL)",WQ,samplewater,17
"HXCDF, 1,2,3,6,7,8- (TEQ ND=1/2 DL)",WQ,samplewater,17
"HXCDF, 1,2,3,7,8,9- (TEQ ND=1/2 DL)",WQ,samplewater,17
"HXCDF, 2,3,4,6,7,8- (TEQ ND=1/2 DL)",WQ,samplewater,17
"HPCDD, 1,2,3,4,6,7,8- (TEQ ND=1/2 DL)",WQ,samplewater,17
"HPCDF, 1,2,3,4,6,7,8- (TEQ ND=1/2 DL)",WQ,samplewater,17
"HPCDF, 1,2,3,4,7,8,9- (TEQ ND=1/2 DL)",WQ,samplewater,17
"OCDD, 1,2,3,4,6,7,8,9- (TEQ ND=1/2 DL)",WQ,samplewater,17
Diphenhydramine,WQX,samplewater,17
Desmetryn,WQ,samplewater,16
Dipropetryn,WQ,samplewater,16
Dichlorotrifluoroethane,WQ,samplewater,16
Tributylphosphate,"WQ,WQX",samplewater,16
"Dimethylfluorene, 1,7-","Tissue,WQ","sediment,tissue",16
Nylon Fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 um",16
TPH as Diesel C10-C25,WQ,samplewater,15
Total Pyrethrins,WQX,samplewater,15
Unknown Foam,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um",14
Dibromoaldrin,WQ,sediment,13
"Dibromo-2,3-dichlorophenyl-hexachloro-norbornene, 4,6-",WQ,sediment,13
Dechlorane 601,WQ,sediment,13
Dechlorane 603,WQ,sediment,13
Dechlorane 604,WQ,sediment,13
Salmonella-invA,WQ,samplewater,13
Dibutyl phosphate,WQ,sediment,13
Diethyl Phosphate,WQ,sediment,13
Pentabromobenzene,WQ,sediment,13
Dimethyl phosphate,WQ,sediment,13
Diphenyl phosphate,WQ,sediment,13
Marbon CNB 23010-1,WQ,sediment,13
Tripropyl Phosphate,WQ,sediment,13
"Bromofluorobenzene, 4-","CIWQS,WQX",samplewater,13
Pentabromoethylbenzene,WQ,sediment,13
Decabromodiphenylethane,WQ,sediment,13
Di(2-ethylhexyl) phosphate,WQ,sediment,13
Tetrabromo-o-chlorotoluene,WQ,sediment,13
Dechlorane Plus Mono Adduct,WQ,sediment,13
"Nitrosomethylethylamine, N-",WQ,samplewater,13
Hexachloro(phenyl)norbornene,WQ,sediment,13
Carbonate Alkalinity as CaCO3,WQ,samplewater,13
Hydroxide Alkalinity as CaCO3,WQ,samplewater,13
Bicarbonate Alkalinity as CaCO3,WQ,samplewater,13
Di-dechlorinated Dechlorane Plus,WQ,sediment,13
Ethylene bis(tetrabromophthalimide),WQ,sediment,13
"Bis(1,3-dichloro-2-propyl) phosphate",WQ,sediment,13
Dibromophenyl-hexachloro-norbornene ,WQ,sediment,13
Monobromophenyl-hexachloro-norbornene-1,WQ,sediment,13
Monobromophenyl-hexachloro-norbornene-2,WQ,sediment,13
Monobromophenyl-hexachloro-norbornene-3,WQ,sediment,13
Tetrachlorophenyl-hexachloro-norbornene,WQ,sediment,13
Hexachlorocyclopentadienyldibromocyclooctane,WQ,sediment,13
Pentabromobenzyl Bromide-1/Pentabromotoluene,WQ,sediment,13
Chlordene Plus,WQ,sediment,13
Terphenyl-d14,WQ,samplewater,12
Nylon Fragment,WQ,"samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >1 mm,sediment, >125 to 355 um,sediment, >500 um",12
Polyethylene Fiber,WQ,"samplewater, particulate, >125 to 355 um",12
Pentabromobenzyl Bromide-2/Polybrominated Biphenyl 101,WQ,sediment,12
"Stearates, Lubricants, Waxes Fragment",WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um",12
"2-ethyl-1-hexyl-2,3,4,5-tetrabromobenzoate",WQ,sediment,12
Ethylene/vinyl Acetate Co-polymer Fragment,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um",12
Organic Natural Material Fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,sediment, >1 mm,sediment, >125 to 355 um",12
Total DDTs,"WQ,WQX","samplewater,sediment",11
Perfluorooctane Sulfonamido Acetic Acid,WQ,sediment,11
Unknown Film,WQ,"sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um",11
Unknown Fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 um",11
Triethyl Phosphate,WQ,sediment,11
Triphenyl Phosphate,"CIWQS,WQ,WQX","samplewater,sediment",11
Tetraethyl Pyrophosphate,"WQ,WQX",samplewater,11
Perfluorodecylphosphonate,WQ,sediment,11
Perfluorohexylphosphonate,WQ,sediment,11
Perfluorooctylphosphonate,WQ,sediment,11
"Trimethylphenanthrene, 1,2,6-","Tissue,WQ","sediment,tissue",11
Ultraviolet Absorption (254nm),WQ,samplewater,11
Anthropogenic (synthetic) fiber,WQ,"samplewater, particulate, >125 to 355 um,sediment, >355 to 500 um,sediment, >500 to 1000 um,sediment, >500 um",11
"Perfluorodecylphosphate, 1H,1H,2H,2H-",WQ,sediment,11
"Perfluorooctylphosphate, 1H,1H,2H,2H-",WQ,sediment,11
Polyethylene Co-acrylic Acid Fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um",11
Perfluorohexylperfluorooctylphosphinate,WQ,sediment,11
Iodomethane,"CIWQS,WQ",samplewater,11
Dry Weight,"Tissue,WQ","sediment,tissue",10
Acrylic Film,WQ,"samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um",10
Paint fragment,WQ,"samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um",10
"Color, Apparent",WQX,samplewater,10
"Hydroxy-Imidacloprid, 5-",WQ,samplewater,10
Pentabromobenzyl acrylate,WQ,sediment,10
"Dibromo-4-(1,2-dibromoethyl)cyclohexane, gamma-1,2-",WQ,sediment,10
"Tetrachlorophenol, 2,3,5,6-",CIWQS,,10
"Hexabromocyclododecane, beta-",WQ,sediment,10
Total TEQ (WHO 2005; ND=1/2DL),WQ,samplewater,10
Metolachlor ethanesulfonic acid,WQX,samplewater,10
Monomethyl tetrachloroterephthalate,WQX,samplewater,10
Polyethylene/Polypropylene Co-polymer Fragment,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >355 to 500 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um",10
Total TEQ (WHO 2005; ND=0),WQ,samplewater,10
Odor,"Field,WQ",samplewater,9
Kepone,WQ,"samplewater,sediment",9
Tedion,WQ,samplewater,9
Radium-226,"CIWQS,WQX",samplewater,9
Radium-228,"CIWQS,WQX",samplewater,9
Enterovirus ,WQ,samplewater,9
"1,2-bis(2,4,6- tribromophenoxy)ethane",WQ,sediment,9
Polystyrene Film,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,sediment, >125 to 355 um",9
Polyethylene Foam,WQ,"samplewater, particulate, >1000 um,samplewater, particulate, >125 to 355 um,samplewater, particulate, >500 to 1000 um,sediment, >125 to 355 um,sediment, >355 to 500 um",9
Imidacloprid olefin,WQ,samplewater,9
